Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.10215	0.671515399758827	0.962509218564484
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.129616071428571	0.442525109709439	0.901714619601022
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.151494642857143	0.627238325319207	0.956459464042455
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.350432142857143	0.329502646931733	0.885535541907807
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.197737500000001	0.615446797090783	0.952399625251276
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	0.349396428571429	0.476249966265725	0.913592763639707
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.216332142857143	0.457721188419164	0.906966665512723
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.433832142857143	0.0301495804400889	0.885535541907807
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.169453571428572	0.373236903602696	0.885535541907807
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.267258928571429	0.304902207419492	0.885535541907807
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.170219642857143	0.610077100699787	0.950752563927779
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.0334928571428577	0.841102609060253	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.113894642857143	0.630689034851016	0.95748663911569
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.3309125	0.418844799377706	0.893019948673206
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.143425	0.52803090581064	0.929492070960162
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.0367571428571433	0.844598690451549	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	0.0311678571428575	0.849085769650616	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.233883928571429	0.29480589354947	0.885535541907807
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.1293875	0.647087764432883	0.958879323904879
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.0755696428571427	0.617941475969256	0.95318561234145
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.290251785714285	0.160375278215004	0.885535541907807
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.190589285714286	0.227240057576785	0.885535541907807
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.266010714285714	0.31142923324178	0.885535541907807
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.2066125	0.158211610975453	0.885535541907807
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.0491625	0.57713106973245	0.943810562119786
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.152485714285714	0.342452124191653	0.885535541907807
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.139496428571429	0.5325250709675	0.931459236465837
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.134996428571429	0.540222150787418	0.932692428716668
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.134287499999999	0.37657376434114	0.885535541907807
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	0.667451785714285	0.492339489551688	0.920374311102453
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.219744642857143	0.530907716846756	0.930698255217928
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.043694642857143	0.713992098987462	0.975106390272307
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.0263517857142857	0.501796200323323	0.924441648100614
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	0.752850000000001	0.0505160526105287	0.885535541907807
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.249075	0.469141213774803	0.910556805633353
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.1907625	0.468331500221941	0.91043400132069
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	-0.0450125000000005	0.815700730288137	0.994425112464852
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.0893910714285717	0.347176821097042	0.885535541907807
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	0.127901785714285	0.526937255869223	0.929256993944976
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	0.112098214285714	0.529663469109195	0.929983121466054
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.120398214285714	0.360223544196157	0.885535541907807
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	-0.00460892857142849	0.97834529112628	1
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0.0394089285714286	0.270850295921177	0.885535541907807
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	0.173280357142857	0.377903165332498	0.885535541907807
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	0.158155357142857	0.572652774654117	0.942624166248317
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	0.0817857142857146	0.326922875580292	0.885535541907807
ENSG00000004399	23129	PLXND1	Q9Y4D7	X49.ENSG00000004399	0.266583928571429	0.277858933801828	0.885535541907807
ENSG00000004455	204	AK2	P54819	X50.ENSG00000004455	0.142703571428571	0.648141988382935	0.959221246745048
ENSG00000004468	952	CD38	P28907	X51.ENSG00000004468	-0.321808928571428	0.311150011178944	0.885535541907807
ENSG00000004478	2288	FKBP4	Q02790	X52.ENSG00000004478	-0.179462499999999	0.639014138241297	0.958077934987785
ENSG00000004487	23028	KDM1A	O60341	X53.ENSG00000004487	0.1218	0.224710246108901	0.885535541907807
ENSG00000004534	10180	RBM6	P78332	X54.ENSG00000004534	0.155535714285714	0.30692256528288	0.885535541907807
ENSG00000004660	84254	CAMKK1	Q8N5S9	X55.ENSG00000004660	-0.135532142857143	0.723842450806034	0.97712471411817
ENSG00000004700	5965	RECQL	P46063	X56.ENSG00000004700	0.0847678571428576	0.756070849664749	0.985029687451403
ENSG00000004766	55610	VPS50	Q96JG6	X57.ENSG00000004766	0.107164285714286	0.578818397894614	0.944039067044266
ENSG00000004776	126393	HSPB6	O14558	X58.ENSG00000004776	0.149707142857143	0.236092111723192	0.885535541907807
ENSG00000004777	115703	ARHGAP33	O14559	X59.ENSG00000004777	0.363108928571429	0.229555142303033	0.885535541907807
ENSG00000004779	4706	NDUFAB1	O14561	X60.ENSG00000004779	-0.0111482142857132	0.942969460995295	1
ENSG00000004799	5166	PDK4	Q16654	X61.ENSG00000004799	0.239180357142857	0.761383421388919	0.985317068394092
ENSG00000004809	85413	SLC22A16	Q86VW1	X62.ENSG00000004809	0.392278571428571	0.152619602407467	0.885535541907807
ENSG00000004838	51364	ZMYND10	O75800	X63.ENSG00000004838	-0.189425	0.293698292242599	0.885535541907807
ENSG00000004846	340273	ABCB5	Q2M3G0	X64.ENSG00000004846	0.0754982142857143	0.155747632623177	0.885535541907807
ENSG00000004848	170302	ARX	Q96QS3	X65.ENSG00000004848	0.0193196428571429	0.578924056680511	0.944053578305768
ENSG00000004864	10165	SLC25A13	Q9UJS0	X66.ENSG00000004864	0.286716071428572	0.227377569195459	0.885535541907807
ENSG00000004866	7982	ST7	Q9NRC1	X67.ENSG00000004866	0.393014285714286	0.0587785401200709	0.885535541907807
ENSG00000004897	996	CDC27	P30260	X68.ENSG00000004897	0.0720767857142868	0.49545584122644	0.92162343468556
ENSG00000004939	6521	SLC4A1	P02730	X69.ENSG00000004939	0.110141071428572	0.752109651302017	0.984137478276459
ENSG00000004948	799	CALCR	P30988	X70.ENSG00000004948	0.04975	0.239515808626508	0.885535541907807
ENSG00000004961	3052	HCCS	P53701	X71.ENSG00000004961	-0.226425	0.193135626527924	0.885535541907807
ENSG00000004975	1856	DVL2	O14641	X72.ENSG00000004975	-0.152374999999999	0.411785208543419	0.891163387845155
ENSG00000005001	64063	PRSS22	Q9GZN4	X73.ENSG00000005001	0.162826785714286	0.521640095536891	0.928733317257849
ENSG00000005007	5976	UPF1	Q92900	X74.ENSG00000005007	0.152914285714285	0.265645708281905	0.885535541907807
ENSG00000005020	8935	SKAP2	O75563	X75.ENSG00000005020	0.478228571428571	0.378712091917533	0.885535541907807
ENSG00000005022	292	SLC25A5	P05141	X76.ENSG00000005022	0.190975	0.261652154264085	0.885535541907807
ENSG00000005059	55013	MCUB	Q9NWR8	X77.ENSG00000005059	-0.0722785714285706	0.537903232267515	0.932284741482938
ENSG00000005073	3207	HOXA11	P31270	X78.ENSG00000005073	-0.00548571428571427	0.885487481898862	1
ENSG00000005075	5439	POLR2J	P52435	X79.ENSG00000005075	-0.0192821428571426	0.848178599951061	1
ENSG00000005100	56919	DHX33	Q9H6R0	X80.ENSG00000005100	0.147253571428572	0.521047985124348	0.928531559389434
ENSG00000005102	4222	MEOX1	P50221	X81.ENSG00000005102	0.775853571428571	0.104253062609851	0.885535541907807
ENSG00000005108	221981	THSD7A	Q9UPZ6	X82.ENSG00000005108	0.224726785714286	0.109952709181018	0.885535541907807
ENSG00000005156	3980	LIG3	P49916	X83.ENSG00000005156	0.167667857142857	0.0974695413836712	0.885535541907807
ENSG00000005175	79657	RPAP3	Q9H6T3	X84.ENSG00000005175	0.109028571428572	0.574441890655584	0.942624166248317
ENSG00000005187	6296	ACSM3	Q53FZ2	X85.ENSG00000005187	0.189542857142857	0.266658047619505	0.885535541907807
ENSG00000005189	81691	REXO5	Q96IC2	X86.ENSG00000005189	0.504905357142857	0.0501807462800884	0.885535541907807
ENSG00000005194	57019	CIAPIN1	Q6FI81	X87.ENSG00000005194	0.263832142857143	0.11065162300719	0.885535541907807
ENSG00000005206	56928	SPPL2B	Q8TCT7	X88.ENSG00000005206	0.141460714285715	0.410895172443747	0.891163387845155
ENSG00000005238	80256	FAM214B	Q7L5A3	X89.ENSG00000005238	0.0020374999999999	0.995509089544578	1
ENSG00000005243	51226	COPZ2	Q9P299	X90.ENSG00000005243	0.0279357142857142	0.911377750826199	1
ENSG00000005249	5577	PRKAR2B	P31323	X91.ENSG00000005249	0.182796428571428	0.573922535313238	0.942624166248317
ENSG00000005302	10943	MSL3	Q8N5Y2	X92.ENSG00000005302	0.0317982142857148	0.862696629810811	1
ENSG00000005339	1387	CREBBP	Q92793	X93.ENSG00000005339	0.0550803571428577	0.735214352320215	0.978730908502139
ENSG00000005379	9256	TSPOAP1	O95153	X94.ENSG00000005379	0.357401785714286	0.237469935903429	0.885535541907807
ENSG00000005381	4353	MPO	P05164	X95.ENSG00000005381	0.234110714285714	0.490357634552821	0.919708151010569
ENSG00000005421	5444	PON1	P27169	X96.ENSG00000005421	0.0249375	0.230957919762523	0.885535541907807
ENSG00000005436	6936	GCFC2	P16383	X97.ENSG00000005436	0.149980357142857	0.585172350923036	0.945560615048412
ENSG00000005448	84058	WDR54	Q9H977	X98.ENSG00000005448	0.281155357142858	0.435862914116083	0.899485452596874
ENSG00000005469	54677	CROT	Q9UKG9	X99.ENSG00000005469	0.392858928571428	0.22925294548711	0.885535541907807
ENSG00000005471	5244	ABCB4	P21439	X100.ENSG00000005471	0.359430357142857	0.295460407511806	0.885535541907807
ENSG00000005483	55904	KMT2E	Q8IZD2	X101.ENSG00000005483	-0.112178571428569	0.518048863672505	0.927644948097372
ENSG00000005486	57414	RHBDD2	Q6NTF9	X102.ENSG00000005486	-0.214164285714285	0.510967884320994	0.925682534916391
ENSG00000005513	30812	SOX8	P57073	X103.ENSG00000005513	-0.0861267857142855	0.607389341436001	0.949736737012729
ENSG00000005700	25998	IBTK	Q9P2D0	X104.ENSG00000005700	0.103642857142857	0.595129644882156	0.947587003961269
ENSG00000005801	7748	ZNF195	O14628	X105.ENSG00000005801	0.172214285714286	0.482240716186394	0.916346586322438
ENSG00000005810	23077	MYCBP2	O75592	X106.ENSG00000005810	0.143378571428573	0.513322843435956	0.926432564717993
ENSG00000005812	26224	FBXL3	Q9UKT7	X107.ENSG00000005812	0.088798214285715	0.550334207062045	0.935221207489616
ENSG00000005844	3683	ITGAL	P20701	X108.ENSG00000005844	0.423369642857144	0.0879280393839672	0.885535541907807
ENSG00000005882	5164	PDK2	Q15119	X109.ENSG00000005882	0.100023214285715	0.687015796928826	0.966929524155972
ENSG00000005884	3675	ITGA3	P26006	X110.ENSG00000005884	0.140026785714285	0.766186877518051	0.986055572571564
ENSG00000005889	7543	ZFX	P17010	X111.ENSG00000005889	0.208733928571428	0.176775013122397	0.885535541907807
ENSG00000005893	3920	LAMP2	P13473	X112.ENSG00000005893	0.0586678571428566	0.759453887336841	0.98522246016506
ENSG00000005961	3674	ITGA2B	P08514	X113.ENSG00000005961	-0.283866071428571	0.516012805550982	0.926817380720088
ENSG00000005981	51666	ASB4	Q9Y574	X114.ENSG00000005981	0.059325	0.269050411433697	0.885535541907807
ENSG00000006007	51573	GDE1	Q9NZC3	X115.ENSG00000006007	0.0481464285714281	0.769292442377849	0.986168344552334
ENSG00000006015	55049	REX1BD	Q96EN9	X116.ENSG00000006015	0.229342857142857	0.289577433375005	0.885535541907807
ENSG00000006016	9244	CRLF1	O75462	X117.ENSG00000006016	0.0288982142857149	0.876463879851693	1
ENSG00000006025	114881	OSBPL7	Q9BZF2	X118.ENSG00000006025	0.261498214285715	0.0837218902454139	0.885535541907807
ENSG00000006042	26022	TMEM98	Q9Y2Y6	X119.ENSG00000006042	0.2244375	0.0675468837416622	0.885535541907807
