Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.197216666666667	0.344263198861382	0.891243722440545
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.116961904761904	0.451131509487132	0.891243722440545
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.280015476190476	0.223203465593182	0.891243722440545
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.275190476190476	0.291504780554629	0.891243722440545
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.191583333333333	0.586277155537701	0.927200160970016
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	0.439154761904762	0.362446428442893	0.891243722440545
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.249990476190476	0.327639691479704	0.891243722440545
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.318157142857144	0.0744583084056124	0.891243722440545
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.366886904761905	0.0216633134960315	0.891243722440545
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.207221428571429	0.389452350867395	0.891243722440545
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.113307142857143	0.702670480563466	0.959628202802171
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.0479595238095243	0.69290505835001	0.956500675952148
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.308632142857142	0.0725287651648208	0.891243722440545
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.373533333333333	0.261099390832508	0.891243722440545
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.0540083333333332	0.669913233417272	0.951461668454882
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.0487821428571437	0.783440631554895	0.983162892763543
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.0327904761904763	0.824349886661723	0.990305937230204
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.284321428571429	0.0879796981334247	0.891243722440545
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.0363916666666656	0.911243323505684	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0903095238095229	0.503994243675584	0.896708333689577
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.363714285714285	0.0744830817467324	0.891243722440545
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.179039285714287	0.194583875697059	0.891243722440545
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.268577380952381	0.213635158977992	0.891243722440545
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.04435	0.734539649790574	0.967235852212158
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.0432916666666667	0.63967734890633	0.942608677632474
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.0608273809523809	0.402937778469751	0.891243722440545
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0566714285714305	0.774903073476136	0.980742930484196
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.103213095238095	0.598460873725832	0.931969442383815
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.0593666666666671	0.572063378373349	0.920683470077102
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	0.912072619047619	0.306288899206768	0.891243722440545
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.296648809523808	0.342705771837981	0.891243722440545
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.0892988095238094	0.513231127483849	0.89916071453176
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	0.197010714285714	0.135006762232395	0.891243722440545
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	0.850299999999999	0.00588772996315022	0.891243722440545
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.114766666666666	0.697796200639495	0.957905373666822
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.188825	0.381190619646841	0.891243722440545
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.119000000000001	0.457402102159843	0.891243722440545
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.0683035714285735	0.364207486393052	0.891243722440545
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.00069404761904782	0.996742876684903	1
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	-0.0538142857142842	0.697639671007311	0.957905373666822
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.0337440476190491	0.706079099135166	0.960095493073013
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.0981369047619046	0.55760811726722	0.913242857426439
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0.00166309523809526	0.934160458652096	1
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	0.177167857142858	0.255581910541386	0.891243722440545
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	0.295934523809525	0.189558975951294	0.891243722440545
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	0.0412357142857147	0.576922984755012	0.92231238795309
ENSG00000004399	23129	PLXND1	Q9Y4D7	X49.ENSG00000004399	0.106896428571428	0.634961953199214	0.941794161045456
ENSG00000004455	204	AK2	P54819	X50.ENSG00000004455	0.0860369047619063	0.741377882353963	0.97045056808029
ENSG00000004468	952	CD38	P28907	X51.ENSG00000004468	-0.310613095238095	0.332846690564434	0.891243722440545
ENSG00000004478	2288	FKBP4	Q02790	X52.ENSG00000004478	-0.190333333333333	0.522698099227104	0.901973128705168
ENSG00000004487	23028	KDM1A	O60341	X53.ENSG00000004487	0.0124083333333341	0.883962168114579	1
ENSG00000004534	10180	RBM6	P78332	X54.ENSG00000004534	0.0884023809523817	0.518737199070997	0.901850893901005
ENSG00000004660	84254	CAMKK1	Q8N5S9	X55.ENSG00000004660	-0.22597380952381	0.535745331514344	0.90713436964161
ENSG00000004700	5965	RECQL	P46063	X56.ENSG00000004700	0.136876190476191	0.523292332280097	0.901973128705168
ENSG00000004766	55610	VPS50	Q96JG6	X57.ENSG00000004766	0.0950559523809534	0.63359375586151	0.941760993697104
ENSG00000004776	126393	HSPB6	O14558	X58.ENSG00000004776	0.0271738095238094	0.773396881121168	0.980450052851193
