Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.15214	0.590142244365713	0.9368978460305
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.111728571428572	0.460256201327084	0.879990285643217
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.205502857142858	0.297191779347274	0.84918513520985
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.407042857142857	0.125619952340418	0.832259887864346
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.685099999999998	0.103604697560069	0.832259887864346
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.683888571428572	0.0918030107440328	0.832259887864346
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.575217142857142	0.0983771773884499	0.832259887864346
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.352257142857142	0.0550786514909128	0.832259887864346
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.125271428571429	0.485137187764415	0.889957877676697
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.168468571428572	0.546868852796529	0.918706348255891
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.496482857142858	0.111777090458533	0.832259887864346
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.164457142857143	0.309882380790247	0.856599362000295
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.0662228571428574	0.781730042442708	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	0.21926	0.597919945219578	0.941055967984322
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.1531	0.388154287336876	0.861468732582822
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.251562857142857	0.2851276961124	0.843148566666533
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.395077142857144	0.0628764336617763	0.832259887864346
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.350248571428572	0.0697689307648639	0.832259887864346
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.503500000000001	0.0687169600132267	0.832259887864346
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.0849771428571419	0.644830924249888	0.959111656748842
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.0953142857142868	0.823603250415265	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.411434285714285	0.0631917471892182	0.832259887864346
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.388565714285714	0.141456062730636	0.832259887864346
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	-0.1557	0.268955193878048	0.836487519627408
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	-0.07036	0.526640568995515	0.90668232069962
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	-0.0479942857142857	0.211574931758929	0.832259887864346
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0266314285714277	0.91951762559669	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.330851428571427	0.209021895064973	0.832259887864346
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.0339399999999993	0.823708439085046	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	0.750074285714285	0.43774585086698	0.870056063527952
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.0607771428571425	0.843729080769929	1
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.0964571428571429	0.675856210491571	0.975781003320563
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	0.0363457142857143	0.656202069255135	0.96454270524682
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	0.89662	0.0277801605932906	0.832259887864346
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	0.000639999999999815	0.998785924808967	1
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	-0.0604400000000005	0.806104407480925	1
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.354299999999999	0.17808211908908	0.832259887864346
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.0253085714285708	0.791715559606373	1
