Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.10455	0.655154506929051	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.102395238095238	0.538877140636211	0.98270894397966
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.0248571428571428	0.916078251674556	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.10922380952381	0.694291681899964	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.724549999999999	0.0581950534464113	0.942432667788342
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	0.179454761904762	0.671482448023142	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.525190476190477	0.0924536442171493	0.942432667788342
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.299090476190477	0.0610837795626293	0.942432667788342
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.177628571428572	0.35417669288492	0.942432667788342
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.0117619047619048	0.965176942349029	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.390976190476191	0.198055726849596	0.942432667788342
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.117390476190476	0.49538136808462	0.972999538459386
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.0564404761904762	0.784954336843225	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.0694666666666666	0.864114404213577	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.1531	0.342381306645942	0.942432667788342
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.136542857142857	0.517594638545037	0.97932883079617
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.0137071428571427	0.93442967965601	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.0449452380952374	0.809740848992962	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.265866666666667	0.42414668299919	0.9537282610651
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0652095238095247	0.6718326174275	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.15804761904762	0.553421872123278	0.986692496015418
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.286447619047619	0.196109816279302	0.942432667788342
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.328685714285714	0.293550247211159	0.942432667788342
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.102333333333333	0.560533288627965	0.988183030741231
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	-0.04915	0.59901440106006	0.998084536579707
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.124285714285714	0.248846664548491	0.942432667788342
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0140214285714282	0.952584278234094	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.294988095238094	0.22249681904709	0.942432667788342
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.151466666666667	0.266482283324943	0.942432667788342
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	0.913180952380952	0.350912704923632	0.942432667788342
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.208840476190477	0.540928633236007	0.98291489409059
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	-0.0983595238095238	0.430538467820003	0.955026174692742
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.0370809523809524	0.393640177477609	0.945831890545571
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	0.787183333333334	0.0479748497814206	0.942432667788342
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.0673666666666667	0.852030019348712	1
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.18125	0.450136186249911	0.961740889258039
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.0538999999999992	0.721611585974366	1
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.210511904761905	0.110938597214996	0.942432667788342
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.114085714285714	0.529781210845007	0.979486796786882
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	-0.0433142857142852	0.831155444056709	1
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.0654357142857148	0.630944019739574	1
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.0521619047619051	0.792708063372103	1
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	-0.0160285714285714	0.360152205441765	0.942432667788342
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	0.424209523809525	0.0274102205226027	0.942432667788342
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	-0.0315571428571421	0.914441086850781	1
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	0.00185238095238062	0.98135171911709	1
ENSG00000004399	23129	PLXND1	Q9Y4D7	X49.ENSG00000004399	0.470921428571429	0.0534538824610618	0.942432667788342
ENSG00000004455	204	AK2	P54819	X50.ENSG00000004455	0.0780452380952384	0.808534860271127	1
ENSG00000004468	952	CD38	P28907	X51.ENSG00000004468	-0.302204761904761	0.317377326190055	0.942432667788342
ENSG00000004478	2288	FKBP4	Q02790	X52.ENSG00000004478	-0.300266666666667	0.38524547304593	0.942754868231975
ENSG00000004487	23028	KDM1A	O60341	X53.ENSG00000004487	0.0024166666666666	0.980158322626241	1
ENSG00000004534	10180	RBM6	P78332	X54.ENSG00000004534	0.00370238095238186	0.977440953286339	1
ENSG00000004660	84254	CAMKK1	Q8N5S9	X55.ENSG00000004660	0.10072619047619	0.803806029050311	1
ENSG00000004700	5965	RECQL	P46063	X56.ENSG00000004700	-0.0661571428571429	0.78175773890739	1
ENSG00000004766	55610	VPS50	Q96JG6	X57.ENSG00000004766	-0.102369047619048	0.569668752487196	0.990743367580887
ENSG00000004776	126393	HSPB6	O14558	X58.ENSG00000004776	0.0469738095238095	0.602418768443349	0.999713467387625
ENSG00000004777	115703	ARHGAP33	O14559	X59.ENSG00000004777	0.0422714285714289	0.87528757801372	1
ENSG00000004779	4706	NDUFAB1	O14561	X60.ENSG00000004779	-0.20065238095238	0.200459860186127	0.942432667788342
ENSG00000004799	5166	PDK4	Q16654	X61.ENSG00000004799	1.39130952380952	0.126991138020762	0.942432667788342
ENSG00000004809	85413	SLC22A16	Q86VW1	X62.ENSG00000004809	0.566595238095238	0.140011842904933	0.942432667788342
ENSG00000004838	51364	ZMYND10	O75800	X63.ENSG00000004838	-0.290533333333334	0.174924641816631	0.942432667788342
ENSG00000004846	340273	ABCB5	Q2M3G0	X64.ENSG00000004846	0.0180190476190476	0.12539072618851	0.942432667788342
ENSG00000004848	170302	ARX	Q96QS3	X65.ENSG00000004848	-0.0215428571428571	0.170429159728714	0.942432667788342
ENSG00000004864	10165	SLC25A13	Q9UJS0	X66.ENSG00000004864	0.259545238095239	0.302253346085367	0.942432667788342
ENSG00000004866	7982	ST7	Q9NRC1	X67.ENSG00000004866	0.131214285714286	0.441982496245102	0.959774095835875
