Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.0040357142857143	0.982155316889715	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.0411160714285711	0.803514610952734	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.085105357142857	0.808617170636164	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.195660714285714	0.629295065711986	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.523994642857142	0.232542217705768	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.150975	0.754681692824476	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.574746428571429	0.092611529127001	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.131417857142858	0.491776579205007	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.166246428571428	0.345573276618994	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.00098750000000015	0.996842273851445	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.362191071428572	0.266073366440974	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.0737499999999996	0.650294709789997	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.0680910714285713	0.79102137141364	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.063798214285714	0.898282339832309	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.240796428571429	0.211407504360706	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.121328571428572	0.502571566850769	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.108932142857142	0.530479018593945	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.117241071428572	0.616198894741055	1
