Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.099102381	0.539598135	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.028461905	0.851885452	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.043415476	0.8680745	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.120419048	0.690624511	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.517840476	0.180822534	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.061216667	0.897226172	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.608404762	0.040201053	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.015742857	0.928198705	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.031186905	0.819155408	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.05905	0.80056648	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.305278571	0.293285314	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.059283333	0.612579674	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.126646429	0.492312976	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.106419048	0.792387741	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.043363095	0.564420734	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.109303571	0.526735042	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.172890476	0.269459651	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.167678571	0.337168446	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.11474881	0.744049647	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.03367619	0.856941679	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.2524	0.319637814	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.178053571	0.186206773	1
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.120563095	0.728962177	1
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	-0.012521429	0.937735028	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	-0.028294048	0.726134535	1
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.073755952	0.292261732	1
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	-0.007957143	0.969784346	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.374841667	0.096880114	1
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.03362381	0.734603932	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	1.150458333	0.196630734	1
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.45204881	0.248129864	1
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.03949881	0.749517334	1
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	0.086553571	0.546370795	1
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.231171429	0.472187002	1
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.271352381	0.343966421	1
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.379453571	0.066197608	1
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.042757143	0.832588741	1
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	-0.072139286	0.540966321	1
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.020079762	0.916995138	1
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	-0.063071429	0.65209032	1
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	-0.051541667	0.545967965	1
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.179936905	0.317848832	1
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0.017691667	0.292598847	1
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	0.193410714	0.219887362	1
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	0.09624881	0.597126895	1
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	0.038792857	0.604012613	1
ENSG00000004399	23129	PLXND1	Q9Y4D7	X49.ENSG00000004399	0.408782143	0.100185119	1
ENSG00000004455	204	AK2	P54819	X50.ENSG00000004455	0.11775119	0.624135736	1
ENSG00000004468	952	CD38	P28907	X51.ENSG00000004468	0.290772619	0.375918798	1
ENSG00000004478	2288	FKBP4	Q02790	X52.ENSG00000004478	-0.383590476	0.116077429	1
ENSG00000004487	23028	KDM1A	O60341	X53.ENSG00000004487	-0.026705952	0.741457535	1
ENSG00000004534	10180	RBM6	P78332	X54.ENSG00000004534	-0.060197619	0.636850405	1
ENSG00000004660	84254	CAMKK1	Q8N5S9	X55.ENSG00000004660	0.179454762	0.556275396	1
ENSG00000004700	5965	RECQL	P46063	X56.ENSG00000004700	0.213761905	0.368396235	1
ENSG00000004766	55610	VPS50	Q96JG6	X57.ENSG00000004766	-0.085129762	0.681593249	1
ENSG00000004776	126393	HSPB6	O14558	X58.ENSG00000004776	-0.014083333	0.885644773	1
ENSG00000004777	115703	ARHGAP33	O14559	X59.ENSG00000004777	-0.247029762	0.296570135	1
ENSG00000004779	4706	NDUFAB1	O14561	X60.ENSG00000004779	-0.112790476	0.37402296	1
ENSG00000004799	5166	PDK4	Q16654	X61.ENSG00000004799	0.66252381	0.350431365	1
ENSG00000004809	85413	SLC22A16	Q86VW1	X62.ENSG00000004809	0.331980952	0.321697833	1
ENSG00000004838	51364	ZMYND10	O75800	X63.ENSG00000004838	-0.261491667	0.225247651	1
