Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.250254285714286	0.202875988632811	0.595237922261671
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.0232285714285718	0.872733373909763	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.442102857142857	0.14368165648827	0.518620081956273
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.561814285714286	0.136356433553947	0.508467540407461
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	1.01135714285714	0.0435906448444188	0.34556367742201
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-1.18426	0.00768547812902004	0.242002014494201
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.933631428571428	0.0283198667505888	0.311050491485103
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.0498428571428565	0.78065242406688	0.957780129425188
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.460971428571429	0.0095913603413517	0.248652225417986
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.43474	0.123602123354985	0.490989518342212
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.304511428571429	0.267747971557899	0.633280747758702
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.271700000000001	0.0884648033462717	0.435408431213661
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.248208571428572	0.370686435253605	0.719521898041257
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	0.486374285714286	0.394919351266575	0.719521898041257
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.0557285714285714	0.366539925930943	0.718318125408305
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.409648571428573	0.0802706460098073	0.422109967888449
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.535177142857144	0.0228355360456515	0.29549895936374
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.466891428571429	0.0408308420418361	0.339253265137915
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.581857142857143	0.0978735042366819	0.449849868429156
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.208962857142856	0.456734210628964	0.749790402204333
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	0.015999999999999	0.974203761015607	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.410448571428571	0.0569429131625917	0.378148191268482
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.240551428571429	0.63778120427786	0.868459500284291
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	-0.212571428571429	0.305423962872898	0.665372087477823
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	-0.141945714285714	0.108806085646326	0.467856577614975
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	-0.0350657142857143	0.0529968842328366	0.368771409262654
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	-0.0379971428571436	0.894492746785547	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.602479999999999	0.0612557267993372	0.386697374774455
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.00819714285714231	0.953922328858611	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	0.988459999999999	0.302098885998605	0.662591964665169
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.216177142857143	0.653374858208029	0.878727055345569
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.0466571428571428	0.825020790085517	0.982882390679449
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.0741114285714286	0.573974027814058	0.824799705776251
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.184851428571429	0.678194949895763	0.89457986964129
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.155945714285715	0.696894738561205	0.90540743901663
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.130188571428571	0.534821849159876	0.800838459608316
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.278057142857142	0.395243475066347	0.719521898041257
