Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.202664286	0.159715929	0.783721397
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.013895238	0.931599943	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.211742857	0.491574961	0.88009012
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.045547619	0.899507769	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	1.050807143	0.021899853	0.588611347
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.320916667	0.445946685	0.859494605
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.883604762	0.021499381	0.588323599
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	-0.00332381	0.98320449	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.158071429	0.355271342	0.822274622
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.278033333	0.296817048	0.822274622
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.199004762	0.46765787	0.869295876
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.224633333	0.185549727	0.789528448
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.125545238	0.599801658	0.926897106
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	0.197647619	0.711600603	0.969438984
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.055728571	0.320792513	0.822274622
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.294628571	0.156143713	0.77966189
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.153807143	0.394966084	0.832727261
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.161588095	0.44456011	0.85824503
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.34422381	0.370876613	0.822454986
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.05877619	0.809187124	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.046733333	0.893587033	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.285461905	0.1879081	0.79102446
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.180671429	0.720775841	0.973658635
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.045461905	0.836941753	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	-0.120735714	0.086849549	0.712986284
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.137214286	0.186812154	0.789528448
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	-0.050607143	0.843973441	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.566616667	0.054691118	0.656730945
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.12572381	0.316978777	0.822274622
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	1.151566667	0.237171107	0.815977181
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.364240476	0.448789437	0.860533282
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	-0.148159524	0.125689773	0.755709139
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.147538095	0.167489225	0.784173446
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.294288095	0.500767995	0.883724487
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.223952381	0.514118636	0.889036424
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.371878571	0.088151588	0.714742943
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	-0.022342857	0.924687977	1
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.070069048	0.700587705	0.964005916
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.133471429	0.552736291	0.909371513
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	-0.052571429	0.797314192	1
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	-0.01985	0.877962028	1
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.133961905	0.540233263	0.901503366
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0	1	1
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	0.440452381	0.024453568	0.602443013
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	-0.231242857	0.325611055	0.822274622
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	-0.000590476	0.994159138	1
ENSG00000004399	23129	PLXND1	Q9Y4D7	X49.ENSG00000004399	0.772807143	0.009290502	0.565128657
ENSG00000004455	204	AK2	P54819	X50.ENSG00000004455	0.109759524	0.701236505	0.964218725
ENSG00000004468	952	CD38	P28907	X51.ENSG00000004468	0.299180952	0.350632326	0.822274622
ENSG00000004478	2288	FKBP4	Q02790	X52.ENSG00000004478	-0.49352381	0.039656289	0.637128011
ENSG00000004487	23028	KDM1A	O60341	X53.ENSG00000004487	-0.036697619	0.681084077	0.955168494
ENSG00000004534	10180	RBM6	P78332	X54.ENSG00000004534	-0.144897619	0.202782359	0.798120422
ENSG00000004660	84254	CAMKK1	Q8N5S9	X55.ENSG00000004660	0.506154762	0.09246149	0.719378413
ENSG00000004700	5965	RECQL	P46063	X56.ENSG00000004700	0.010728571	0.969254954	1
ENSG00000004766	55610	VPS50	Q96JG6	X57.ENSG00000004766	-0.282554762	0.170146197	0.786489375
ENSG00000004776	126393	HSPB6	O14558	X58.ENSG00000004776	0.005716667	0.953266745	1
ENSG00000004777	115703	ARHGAP33	O14559	X59.ENSG00000004777	-0.273771429	0.311505568	0.822274622
ENSG00000004779	4706	NDUFAB1	O14561	X60.ENSG00000004779	-0.14452381	0.177236363	0.788436282
ENSG00000004799	5166	PDK4	Q16654	X61.ENSG00000004799	1.86262381	0.009634751	0.565128657
ENSG00000004809	85413	SLC22A16	Q86VW1	X62.ENSG00000004809	0.688380952	0.150772543	0.775396565
ENSG00000004838	51364	ZMYND10	O75800	X63.ENSG00000004838	-0.366533333	0.089910772	0.716483987
ENSG00000004846	340273	ABCB5	Q2M3G0	X64.ENSG00000004846	0.00087619	0.966761785	1
ENSG00000004848	170302	ARX	Q96QS3	X65.ENSG00000004848	0	1	1
