Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.25429	0.302497652908911	0.631723176919545
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.0178874999999997	0.915453934468744	0.988466084324744
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.3569975	0.311646396843384	0.635903953308384
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.757475	0.0672389070259684	0.468730269364374
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	-0.4873625	0.187634398069788	0.582386848211934
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	1.033285	0.0564256288130736	0.458005380012867
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	-0.358885	0.103915895883795	0.501843348365876
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.0815749999999995	0.68582690223359	0.85860476598645
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.294724999999999	0.141016731222942	0.541625981451819
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.4357275	0.0921486545584045	0.493593794417521
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.6667025	0.0563111870242536	0.458005380012867
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.19795	0.240115170824478	0.612617518057642
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.1801175	0.479575577218634	0.721341111405782
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.5501725	0.304941103933645	0.632514535501355
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.296525	0.187726957276273	0.582386848211934
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.288319999999999	0.10485796571995	0.501843348365876
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	0.426244999999999	0.00751107795345259	0.424855232265424
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.584132499999999	0.0327065316803845	0.434435971119267
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.6328875	0.0327475080844262	0.434435971119267
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0094074999999994	0.961474463550157	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.1949375	0.574278066705792	0.785716443390136
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	-0.220844999999999	0.140046039029799	0.540628865943464
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	-0.122555	0.706633737976459	0.870782628690045
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.3623125	0.00635820948616453	0.424855232265424
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.1195225	0.215348498570458	0.599476566866122
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.20048	0.291477713906663	0.62756911499189
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.112865	0.57156248362826	0.783988658845794
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	-0.195855	0.273779264669807	0.620326845274262
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.1003475	0.496072412304001	0.731225001211806
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	-0.0826224999999997	0.938602595123299	1
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.158967499999999	0.627008537759517	0.821073592195252
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	-0.0527624999999999	0.781299775627786	0.912740377287013
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.0626975	0.336282141102224	0.651780587618364
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.14377	0.725098998196788	0.881415638825037
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.249715	0.422520666924058	0.702141277624998
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.2512025	0.330623764022796	0.648192656221925
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	-0.399312499999999	0.197637519884106	0.586538654995855
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.0640825000000011	0.427673285802292	0.702141277624998
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	0.2071875	0.356616736810259	0.665709593932707
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	0.2299125	0.211421025359594	0.596299127241328
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.108812499999999	0.385848995010781	0.686520601773081
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.0181824999999998	0.897824727551264	0.98009812076687
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0.0554375	0.160456932500686	0.561311603421636
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	-0.0226625	0.904932125609383	0.984105374671161
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	0.411292500000001	0.109662341709816	0.508396596289767
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	0.052799999999999	0.501554920534546	0.735576186726087
ENSG00000004399	23129	PLXND1	Q9Y4D7	X49.ENSG00000004399	-0.161187500000002	0.593540704901832	0.798284669368038
ENSG00000004455	204	AK2	P54819	X50.ENSG00000004455	0.139474999999999	0.622095138856131	0.818153430241941
ENSG00000004468	952	CD38	P28907	X51.ENSG00000004468	-0.0636974999999999	0.850163305516537	0.952922393995262
ENSG00000004478	2288	FKBP4	Q02790	X52.ENSG00000004478	0.412357499999999	0.271239773184639	0.620311881929722
ENSG00000004487	23028	KDM1A	O60341	X53.ENSG00000004487	0.234199999999999	0.0382839430417517	0.436682529450965
ENSG00000004534	10180	RBM6	P78332	X54.ENSG00000004534	0.34865	0.0270800242381245	0.432133974092677
ENSG00000004660	84254	CAMKK1	Q8N5S9	X55.ENSG00000004660	-0.892295	0.0466962469741579	0.444805574385872
ENSG00000004700	5965	RECQL	P46063	X56.ENSG00000004700	0.527945000000001	0.0758478683566042	0.474822122378982
