Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.349356666666667	0.111254510224725	0.45286978023069
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.00523333333333273	0.974213216586568	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.485518333333333	0.0611551581435553	0.380391380161435
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.682233333333333	0.0216969589595679	0.327225082918361
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	-0.493516666666667	0.156835619597253	0.501694007410033
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	1.12304333333333	0.0417069169849225	0.356501235324933
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	-0.325226666666666	0.121869776064114	0.461478572084193
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	-0.0341000000000009	0.858051620813523	0.95883411275537
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.492158333333333	0.00401426034031152	0.317083142112539
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.37569	0.133828898292248	0.47605502737455
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.609789999999999	0.0549137431063803	0.372059676817638
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.212416666666668	0.0702876451067118	0.392111023266589
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.374855	0.0369396182949524	0.343583468200031
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.592793333333333	0.173261680696065	0.520051557517662
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.0990916666666667	0.209460401383954	0.55761810516197
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.300345	0.0986206158108575	0.438610437548367
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	0.362286666666667	0.0144646851909398	0.322619792792486
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.634570000000002	0.00228533643472493	0.311856420669806
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.467108333333333	0.196776740479591	0.546266117083263
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.175286666666667	0.313233902248331	0.65216956194747
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.2684	0.388546414207325	0.690375722129624
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	-0.232395	0.08994109593395	0.424412463377772
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	-0.119988333333333	0.651358053797261	0.836180901562234
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.20005	0.103395827508692	0.444081293635037
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.113651666666667	0.27830995324905	0.623640573926127
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.108821666666667	0.192900626235713	0.542903641687649
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0300400000000008	0.873000521657883	0.968320290286918
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	-0.227638333333333	0.194855882955887	0.545083893045635
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.0254266666666668	0.784290147238576	0.918981493396506
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	0.161998333333334	0.870047004101225	0.966482249289947
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.235871666666666	0.43922904875738	0.725874408438482
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	-0.00715833333333324	0.970113143099384	1
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	0.160665	0.311269876514672	0.650718780847525
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.0463199999999998	0.881672728690329	0.972825120322715
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.115406666666667	0.677486467425165	0.853872382082647
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.249265000000001	0.240858738620129	0.590390789827068
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	-0.2353	0.343058996027902	0.674300850720092
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.0429949999999995	0.494500989600972	0.765626554968382
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	0.0785916666666666	0.676528573486589	0.853293776692771
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	0.0640000000000005	0.640231213678446	0.829494630356353
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.0221583333333342	0.769262275222767	0.90962397142297
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.120928333333333	0.454509112129526	0.737225263458057
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0.0176916666666667	0.365708756096696	0.679949972150056
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	-0.0187749999999998	0.898704660821914	0.982157605523271
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	0.549071666666667	0.00873254006020109	0.322619792792486
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	0.0122500000000001	0.86835802211391	0.965485474957762
