Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.2067	0.306964269795246	0.847523194853295
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.0272208333333335	0.877133535634761	0.997527523133872
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.1266375	0.714934761261819	0.948272074970608
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.241208333333333	0.527122074911714	0.88298702852583
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	-0.526812500000001	0.116271046488557	0.847523194853295
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	0.169941666666666	0.737993203552457	0.953913389334489
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	-0.308858333333334	0.114957683156489	0.847523194853295
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.134741666666666	0.457823383817575	0.860996647599283
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.00817500000000103	0.966624303468962	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.279020833333333	0.253184098211945	0.847523194853295
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.561195833333332	0.0913350807852457	0.847523194853295
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.150883333333332	0.384879791207387	0.847523194853295
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.0574541666666669	0.795031809834474	0.972339072959244
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.261445833333334	0.601342772229754	0.907642443882982
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.296525	0.149064548812345	0.847523194853295
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.1733	0.272591258435946	0.847523194853295
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	0.0448749999999997	0.685493831660008	0.939622304912433
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.278829166666667	0.258726436125075	0.847523194853295
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.395254166666666	0.235453481692718	0.847523194853295
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.140779166666666	0.405212104393169	0.847523194853295
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.132204166666666	0.45694529963665	0.860996647599283
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	-0.0958583333333339	0.558945951206779	0.893376412226958
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	-0.0626750000000001	0.857679971603209	0.992639933920131
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.104279166666667	0.497624288749001	0.872385455624109
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.0983124999999999	0.220770043435844	0.847523194853295
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.0282	0.883176380666421	0.999442995547225
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.125474999999998	0.481277990359203	0.86769035263795
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	-0.159991666666667	0.33628215612641	0.847523194853295
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	-0.0171791666666673	0.893222682921858	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	-0.245729166666667	0.814882213476011	0.97734378701039
