Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.301766667	0.099923229	0.887994964
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.014566667	0.928941317	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.255158333	0.318983466	0.887994964
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.165966667	0.547052691	0.898304103
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	-0.532966667	0.093160982	0.887994964
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	0.2597	0.607001523	0.916697137
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	-0.2752	0.143489502	0.887994964
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.019066667	0.911393917	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.189258333	0.229388717	0.887994964
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.218983333	0.350084997	0.887994964
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.504283333	0.092525846	0.887994964
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.16535	0.187965484	0.887994964
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.252191667	0.093617314	0.887994964
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.304066667	0.453187731	0.887994964
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.099091667	0.169495523	0.887994964
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.185325	0.254390804	0.887994964
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.019083333	0.866898224	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.329266667	0.075182323	0.887994964
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.229475	0.531379686	0.894604742
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0251	0.865486846	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.205666667	0.274442857	0.887994964
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	-0.107408333	0.457582151	0.887994964
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	-0.060108333	0.832882625	0.994312551
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	-0.057983333	0.681334595	0.945811232
