Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.133040909090909	0.494057593614942	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.0189784090909092	0.889069728718073	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.0550647727272727	0.847767384890569	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.0597159090909091	0.859290723579869	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.349119318181819	0.386796028152388	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.168020454545455	0.674051383737223	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.250356818181819	0.322143696206774	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.237520454545455	0.241138356879058	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.0840022727272722	0.567485804292739	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.198678409090909	0.393650935225378	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.122617045454546	0.711039499843396	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.0102045454545448	0.942031621887003	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.0942170454545454	0.599924196688951	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.258303409090909	0.549030376281048	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.284288636363636	0.060360745636683	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.0418727272727267	0.795841443659806	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.0236022727272723	0.90813627558469	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.083176136363637	0.685944733795034	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.33367840909091	0.306570483787447	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.122130681818182	0.40291383920395	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.206673863636363	0.27235191394048	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.195475000000001	0.0864386261025203	1
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.120179545454546	0.666553861540972	1
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.240694318181818	0.0242194148983616	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.146180681818182	0.0455730225661993	1
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.140418181818182	0.29567295287747	1
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.151161363636364	0.495110676632348	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.134452272727273	0.494486435670755	1
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.1042875	0.378551392570338	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	1.13916477272727	0.18376984787696	1
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.257960227272727	0.446288838551217	1
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.0593647727272728	0.458754977747999	1
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.118164772727273	0.037826040292048	1
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.133513636363636	0.678418725568805	1
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.208602272727273	0.414954186715557	1
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.295753409090909	0.162121410904571	1
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.007742045454546	0.971042570596293	1
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.0990534090909096	0.263625319627661	1
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.0407215909090908	0.843133792892376	1
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	0.0626306818181819	0.735494231537689	1
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.0194215909090917	0.830847608366752	1
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.0489261363636367	0.761772924223547	1
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0.0554375	0.0381876643376587	1
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	0.127828409090909	0.42420457480711	1
