Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.228107575757576	0.17821091845643	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.00632424242424229	0.959603317498246	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.183585606060606	0.397600894019578	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.134957575757576	0.597309629432861	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.342965151515151	0.326184318309887	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.0782621212121216	0.839992341349436	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.284015151515152	0.197057400591737	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.121845454545454	0.487846167566416	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.113431060606061	0.332406724462054	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.138640909090909	0.510036689906234	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.0657045454545446	0.81840777769874	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.00426212121212058	0.967169632067797	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.100520454545454	0.415393773774548	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.300924242424242	0.391479519528885	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.0868553030303031	0.104525294237813	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.0298477272727274	0.842481218013538	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.0875606060606058	0.61606522412568	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.133613636363636	0.393828126848761	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.167899242424242	0.601459804376303	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0437484848484852	0.727800080457086	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.280136363636364	0.116641864078884	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.183925	0.0699090619649089	1
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.122746212121212	0.590923653438924	1
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.0784318181818182	0.41216897118201	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.140309848484848	0.0647038410152547	1
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.0487598484848485	0.470351079371531	1
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0683363636363637	0.720462197344046	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.102668939393938	0.551281370527248	1
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.0293666666666667	0.719469582436052	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	1.38378560606061	0.0755498993406354	1
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.334864393939393	0.256463138904403	1
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.104968939393939	0.297865831221711	1
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	0.105197727272727	0.332342929954255	1
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.0360636363636366	0.885673540618584	1
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	-0.0742939393939395	0.737814082484475	1
