Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.030890909090909	0.887731880375275	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	0.110637662337662	0.395182347844785	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.0964298701298702	0.669367962987587	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.410148051948052	0.16886446199253	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.151381818181817	0.728155971810363	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.517416883116883	0.146888077772981	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.0340246753246751	0.912664225077689	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	-0.196311688311688	0.318492764316472	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.253455844155845	0.0844627517093889	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.0685805194805196	0.788043149995035	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.0476025974025977	0.886703843550147	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.0436974025974027	0.757466692709812	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.208111688311689	0.232878821921524	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	0.0726090909090909	0.850233666546912	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.140863636363636	0.230673163165859	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.0786298701298705	0.690031288289025	1
