Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.129005194805195	0.454773148693968	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	0.0221376623376625	0.861160472531113	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.14017012987013	0.598516415744389	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.255376623376623	0.448918055395112	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	-0.174875324675326	0.703602258457964	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.0170454545454547	0.960199841209819	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	-0.324389610389611	0.339570344311234	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.106102597402597	0.593337433109193	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.0822441558441556	0.517560121367869	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.197690909090909	0.432734852879158	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.239574025974026	0.462883772302915	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.0635454545454544	0.643468048338474	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.0261259740259743	0.891257710099028	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.194505194805195	0.672391933505951	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.0434922077922078	0.298416674024415	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.0794558441558441	0.678096610488041	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	0.0853298701298699	0.723186206986348	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.0340649350649349	0.857624797616357	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.282648051948051	0.438403889283144	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0774246753246755	0.692115937004298	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.0277363636363642	0.924151791998593	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.00587142857142764	0.967086547955683	1
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.00218311688311675	0.995476724166117	1
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.0909532467532468	0.548486899298606	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.168603896103896	0.0161546776991174	1
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	-0.0249961038961039	0.642771614522862	1
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0762935064935063	0.776334518352453	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	-0.272172727272729	0.300297920445313	1
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	-0.00425714285714287	0.97095796968963	1
