Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.121249090909091	0.591598458261062	0.861225060880939
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.00109090909090939	0.992981926678286	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.301932727272727	0.226175156241343	0.638292598836384
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.817190909090909	0.0181399048624724	0.501507583815292
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.836481818181817	0.0776716201589735	0.525841783782045
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-1.20130545454545	0.00203884609204728	0.501507583815292
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.609241818181818	0.0472162837065781	0.508708292599193
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.155945454545455	0.480769237306315	0.817535458069179
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.378727272727272	0.0121710874796967	0.501507583815292
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.237049090909091	0.369418462339843	0.739102066608978
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.544085454545455	0.131036521018041	0.560109492771672
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.208154545454546	0.146114632648431	0.568478950715536
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.274334545454546	0.129947216469502	0.560109492771672
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	0.291869090909091	0.554461953621175	0.83772482392644
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.0122363636363636	0.332832954003777	0.717411490885087
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.330192727272727	0.110455449518535	0.550165910295763
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.449847272727273	0.0934493420275266	0.538057542337895
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.500956363636363	0.0220869114725846	0.501507583815292
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.299209090909091	0.411787224378449	0.769066243232836
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.131538181818182	0.464497944259978	0.806526818503734
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	-0.011736363636363	0.973791607403868	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.416320000000001	0.0101126196916878	0.501507583815292
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.242734545454545	0.443533506859443	0.791320226693637
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	-0.121618181818182	0.165009677314456	0.583298417458719
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.0266581818181818	0.757482957756088	0.961350566158995
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	-0.0600618181818182	0.348553346967468	0.725551681179455
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0382963636363636	0.88664750303967	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.330307272727273	0.166255134715828	0.584283360292946
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.00393999999999996	0.973107114783462	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	1.22178727272727	0.17321345363333	0.590225615213475
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.0989927272727276	0.775548573225482	0.97051974800859
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.112127272727273	0.507459584081918	0.817671712324234
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.0554672727272727	0.517670967677797	0.818185128162713
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	0.0102563636363638	0.976185605652344	1
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	0.0411127272727273	0.893653772096874	1
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.044550909090909	0.816522576803827	0.992168894439287
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.407054545454545	0.154027609545021	0.575443374507369
