Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.0736590909090909	0.696214034396272	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	0.00824242424242399	0.951345699795314	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.0715727272727273	0.778294326033377	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.300924242424242	0.339191775709255	0.959482819126639
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.875931818181817	0.0435232227554838	0.937904735866625
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.337962121212121	0.346246946280522	0.96087294608926
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.559215151515152	0.0434666444669651	0.937904735866625
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.102778787878788	0.60408549931846	0.991615695794193
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.0758272727272727	0.602281008650001	0.991072576985861
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.0803424242424242	0.747026397506491	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.438578787878787	0.194899483290152	0.938769731723157
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.161087878787878	0.275700446205522	0.948765558255165
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.151671212121212	0.318367668890491	0.950952540345471
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	0.00314242424242438	0.994585106980683	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.0122363636363636	0.288322508084266	0.948765558255165
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.215172727272727	0.244762890231437	0.945788093501511
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.0684772727272724	0.763698882313266	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.19565303030303	0.324690300960015	0.953502482691575
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	-0.0615757575757575	0.869710001480606	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0186484848484846	0.903579494225542	1
