Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.0890192307692309	0.603602101703373	0.904893040145815
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.0560644230769229	0.664481672712641	0.925511411634162
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.178183653846154	0.462371439410708	0.842713750786446
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.235175	0.36684618384026	0.799744018500844
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.132683653846152	0.736447457672826	0.950919748648085
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.184459615384615	0.670552935862397	0.926813692604418
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.139075	0.586532494169333	0.89680367957422
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.420436538461538	0.0181842906701355	0.695259707799364
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.092455769230769	0.499382362570371	0.857192942292099
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.158572115384615	0.467619994034168	0.844143157210963
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.462677884615384	0.102677595238216	0.695259707799364
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.0170884615384615	0.909704774792963	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.0123144230769228	0.960075129897878	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.682427884615384	0.147502461424274	0.706794078462631
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.269840384615384	0.0579880511060299	0.695259707799364
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.0750384615384614	0.512914884852427	0.864112781498018
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	0.0224480769230769	0.874949996880394	0.991803142159121
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.17568173076923	0.398260166780247	0.818602368295221
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.427910576923077	0.058827231493811	0.695259707799364
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	0.0585355769230766	0.667622945626237	0.925630704704048
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	0.0958086538461534	0.512007131801545	0.863508657116988
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.108467307692307	0.257145358240076	0.729737838181879
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.333209615384615	0.117152907580965	0.698215424854455
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.177620192307692	0.202542293761474	0.706794078462631
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.118800961538462	0.14790023004957	0.706794078462631
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.185853846153846	0.111662803977366	0.698215424854455
