Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.184085897	0.21873838	0.780300185
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.043410256	0.712730413	0.942296562
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.306704487	0.094430739	0.764626475
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.159933333	0.399949244	0.811642253
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.126529487	0.708706985	0.940856772
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.094701282	0.814125266	0.976607498
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.172733333	0.431923466	0.825512815
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.304761538	0.048038242	0.764626475
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.289889103	0.012066385	0.764626475
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.098534615	0.616526769	0.906157737
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.405765385	0.10090151	0.764626475
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.031555128	0.783133161	0.966896667
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.207051923	0.274650201	0.782593867
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.725048718	0.061062393	0.764626475
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.072407051	0.191569195	0.766857199
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.087063462	0.448241979	0.832766423
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.041510256	0.740664597	0.951721721
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.226119231	0.161527948	0.764626475
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.26213141	0.28941563	0.782593867
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.10734359	0.366494136	0.799831999
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	0.022346154	0.87521524	0.995212312
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.096917308	0.261672908	0.782593867
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.335776282	0.056292249	0.764626475
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.015357692	0.89836673	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.112930128	0.155842938	0.764626475
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.094195513	0.070608118	0.764626475
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.142415385	0.324578017	0.788898279
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.160087821	0.275980937	0.782593867
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.126805128	0.322949125	0.788252694
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	1.016319872	0.147200096	0.764626475
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.497276282	0.062780436	0.764626475
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.128987821	0.17233604	0.764626475
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	0.098963462	0.383312114	0.805814403
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	0.026423077	0.915602827	1
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	0.11835641	0.560999764	0.883940095
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.028948077	0.835441372	0.983075691
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.264076923	0.100229404	0.764626475
