Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.0131307692307692	0.945934497950123	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	0.0735516483516482	0.55244495046311	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.0266890109890105	0.876492962749147	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.115257142857143	0.548973957114902	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	-0.065053846153847	0.879130997510819	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.533856043956044	0.195950242624491	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	-0.0772571428571422	0.802659624761457	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	-0.0133956043956046	0.932153469466412	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.0769978021978022	0.558353379520484	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.108686813186813	0.650552228555923	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.292458241758241	0.289544496118861	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.0164043956043956	0.915586676312067	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.10158021978022	0.688228592259541	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.351515384615385	0.4228241655498	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.126415384615385	0.262623226013619	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.0382813186813188	0.796136080226067	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.00871978021978021	0.959498177800329	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.0582021978021977	0.754729145526938	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.298523076923077	0.179318421685504	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.0170340659340656	0.897070689248261	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	0.386060439560439	0.0630697081154313	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	-0.0821219780219785	0.524337107944064	1
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.0671989010989011	0.684628899322141	1
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	-0.0289923076923077	0.848823205421136	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.0696384615384616	0.442914834549319	1
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.0333681318681319	0.183234533890546	1
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.0857439560439559	0.660558425758586	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.0568747252747247	0.779266053343303	1
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.0674384615384616	0.702586925056995	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	0.104247252747253	0.884217728666265	1
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.200627472527473	0.508929717405797	1
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.039689010989011	0.694839652981582	1
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.0980472527472527	0.299826016548896	1
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.823876923076923	0.0132101816197442	1
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	0.233123076923077	0.430692207389245	1
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	-0.159876923076923	0.339496053444506	1
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.145076923076924	0.377121085411904	1
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	-0.00583626373626396	0.94585121494428	1
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.170291208791209	0.477519806716617	1
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	-0.123531868131868	0.448972181134341	1
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	-0.0117318681318682	0.908550780874275	1
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.171502197802198	0.28896602599924	1
