Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	0.084983516	0.568039573	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.014948352	0.901872556	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.263289011	0.228130838	0.957862803
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	0.039514286	0.871985422	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	-0.391310989	0.387370971	0.986225561
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.033484615	0.933377675	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	-0.435671429	0.196553797	0.947890295
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.289018681	0.085657923	0.947890295
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.258702198	0.039098485	0.947890295
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	0.157584615	0.504244386	0.989774608
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	0.100486813	0.701440192	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	0.090838462	0.55008543	0.997489367
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	0.080405495	0.761141012	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.61862967	0.217606723	0.951790358
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	0.029043956	0.573950145	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	0.196367033	0.176531214	0.947890295
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	0.13138022	0.460181643	0.986225561
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	0.058440659	0.765970051	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.37688022	0.143685844	0.947890295
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.14101978	0.441152323	0.986225561
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	0.274746154	0.278055594	0.969790589
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	-0.081136264	0.518224898	0.990198632
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.215213187	0.494791782	0.988026234
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.027879121	0.874511408	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.141224176	0.085492922	0.947890295
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.02043956	0.162573458	0.947890295
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.150372527	0.468958672	0.986225561
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	-0.214753846	0.340303702	0.978315812
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.093181319	0.591526476	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	-0.134138462	0.849555161	1
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.045227473	0.903791247	1
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	0.089489011	0.299973293	0.970441571
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	0.01240989	0.911601095	1
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	0.257594505	0.454407664	0.986225561
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	0.389708791	0.177677426	0.947890295
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	-0.350505495	0.024043078	0.947890295
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.22131978	0.28166332	0.969955806
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.134606593	0.279983696	0.969955806
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.150905495	0.553531182	0.99800796
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	-0.114274725	0.485273574	0.986384572
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.073553846	0.45810888	0.986225561
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.089702198	0.598452592	1
