Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.165270769230769	0.404990936411049	0.867979466064987
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.0381769230769232	0.753123629114996	0.98954288431223
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	-0.178813846153846	0.316012480471073	0.833369991210877
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.5223	0.0107924655255407	0.632130075830966
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.620046153846153	0.180826055312615	0.742208417609393
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-1.21774461538462	0.00955690387486973	0.632130075830966
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.49796	0.109753626447727	0.692409477166019
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.338861538461538	0.066040907039295	0.688614430711649
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	-0.202269230769231	0.124522870598385	0.70236420705025
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.277155384615384	0.269528427378726	0.807967387999466
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.204024615384616	0.45266896516638	0.890865306837274
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.180861538461539	0.272171488641378	0.809328767887124
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.167803076923077	0.557699860253089	0.901543926873338
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.132255384615385	0.807383032143605	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.0266846153846154	0.539726124207206	0.901220085268502
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.213281538461539	0.123484845004699	0.70236420705025
