Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000000003	7105	TSPAN6	O43657	X2.ENSG00000000003	-0.117680769	0.473627481	1
ENSG00000000005	64102	TNMD	Q9H2S6	X3.ENSG00000000005	0	1	1
ENSG00000000419	8813	DPM1	O60762	X4.ENSG00000000419	-0.02884359	0.823984211	1
ENSG00000000457	57147	SCYL3	Q8IZE3	X5.ENSG00000000457	0.051546154	0.79329527	1
ENSG00000000460	55732	C1orf112	Q9NSG2	X6.ENSG00000000460	-0.006033333	0.976230618	1
ENSG00000000938	2268	FGR	P09769	X7.ENSG00000000938	0.659496154	0.118832155	1
ENSG00000000971	3075	CFH	P08603	X8.ENSG00000000971	-0.354401282	0.406331087	1
ENSG00000001036	2519	FUCA2	Q9BTY2	X9.ENSG00000001036	0.447933333	0.111403385	1
ENSG00000001084	2729	GCLC	P48506	X10.ENSG00000001084	0.285694872	0.081698468	1
ENSG00000001167	4800	NFYA	P23511	X11.ENSG00000001167	0.100630769	0.46050793	1
ENSG00000001460	90529	STPG1	Q5TH74	X12.ENSG00000001460	-0.120448718	0.609144666	1
ENSG00000001461	57185	NIPAL3	Q6P499	X13.ENSG00000001461	-0.098517949	0.705735124	1
ENSG00000001497	81887	LAS1L	Q9Y4W2	X14.ENSG00000001497	-0.133794872	0.411776924	1
ENSG00000001561	22875	ENPP4	Q9Y6X5	X15.ENSG00000001561	-0.045139744	0.859538529	1
ENSG00000001617	6405	SEMA3F	Q13275	X16.ENSG00000001617	-0.420982051	0.410061825	1
ENSG00000001626	1080	CFTR	P13569	X17.ENSG00000001626	-0.026684615	0.500944301	1
ENSG00000001629	54467	ANKIB1	Q9P2G1	X18.ENSG00000001629	-0.098261538	0.427561797	1
ENSG00000001630	1595	CYP51A1	Q16850	X19.ENSG00000001630	-0.022426923	0.882250556	1
ENSG00000001631	889	KRIT1	O00522	X20.ENSG00000001631	-0.103147436	0.614976354	1
ENSG00000002016	5893	RAD52	P43351	X21.ENSG00000002016	0.03265641	0.896156224	1
ENSG00000002330	572	BAD	Q92934	X22.ENSG00000002330	-0.08224359	0.573188227	1
ENSG00000002549	51056	LAP3	P28838	X23.ENSG00000002549	0.228012821	0.24146204	1
ENSG00000002586	4267	CD99	P14209	X24.ENSG00000002586	0.204325641	0.146862515	1
ENSG00000002587	9957	HS3ST1	O14792	X25.ENSG00000002587	0.395884615	0.114853721	1
ENSG00000002726	26	AOC1	P19801	X26.ENSG00000002726	0.073341026	0.656215976	1
ENSG00000002745	51384	WNT16	Q9UBV4	X27.ENSG00000002745	0.020488462	0.815871205	1
ENSG00000002746	23072	HECW1	Q76N89	X28.ENSG00000002746	0.157653846	0.040252369	1
ENSG00000002822	8379	MAD1L1	Q9Y6D9	X29.ENSG00000002822	0.099765385	0.554162046	1
ENSG00000002834	3927	LASP1	Q14847	X30.ENSG00000002834	0.351862821	0.054654272	1
ENSG00000002919	29916	SNX11	Q9Y5W9	X31.ENSG00000002919	0.218905128	0.219780454	1
ENSG00000002933	55365	TMEM176A	Q96HP8	X32.ENSG00000002933	1.017428205	0.201321083	1
ENSG00000003056	4074	M6PR	P20645	X33.ENSG00000003056	0.409467949	0.188636095	1
ENSG00000003096	90293	KLHL13	Q9P2N7	X34.ENSG00000003096	-0.058670513	0.429716589	1
ENSG00000003137	56603	CYP26B1	Q9NR63	X35.ENSG00000003137	-0.135128205	0.173244596	1
ENSG00000003147	3382	ICA1	Q05084	X36.ENSG00000003147	-0.03669359	0.913421857	1
ENSG00000003249	79007	DBNDD1	Q9H9R9	X37.ENSG00000003249	0.16575641	0.491275057	1
ENSG00000003393	57679	ALS2	Q96Q42	X38.ENSG00000003393	0.021373077	0.877315034	1
ENSG00000003400	843	CASP10	Q92851	X39.ENSG00000003400	0.198976923	0.291991941	1
ENSG00000003402	8837	CFLAR	O15519	X40.ENSG00000003402	0.204675641	0.050696692	1
ENSG00000003436	7035	TFPI	P10646	X41.ENSG00000003436	-0.284376923	0.254810045	1
ENSG00000003509	55471	NDUFAF7	Q7L592	X42.ENSG00000003509	-0.166846154	0.367914245	1
ENSG00000003756	10181	RBM5	P52756	X43.ENSG00000003756	0.053703846	0.600128464	1
ENSG00000003987	9108	MTMR7	Q9Y216	X44.ENSG00000003987	0.223664103	0.152220295	1
ENSG00000003989	6542	SLC7A2	P52569	X45.ENSG00000003989	0	1	1
ENSG00000004059	381	ARF5	P84085	X46.ENSG00000004059	0.303797436	0.068919706	1
ENSG00000004139	23098	SARM1	Q6SZW1	X47.ENSG00000004139	0.092415385	0.688721698	1
ENSG00000004142	26073	POLDIP2	Q9Y2S7	X48.ENSG00000004142	0.035851282	0.504353485	1
ENSG00000004399	23129	PLXND1	Q9Y4D7	X49.ENSG00000004399	0.355542308	0.165014927	1
ENSG00000004455	204	AK2	P54819	X50.ENSG00000004455	0.18239359	0.464488818	1
ENSG00000004468	952	CD38	P28907	X51.ENSG00000004468	0.053989744	0.784790732	1
ENSG00000004478	2288	FKBP4	Q02790	X52.ENSG00000004478	-0.310951282	0.321187921	1
ENSG00000004487	23028	KDM1A	O60341	X53.ENSG00000004487	0.050378205	0.582068943	1
ENSG00000004534	10180	RBM6	P78332	X54.ENSG00000004534	0.118939744	0.292991632	1
ENSG00000004660	84254	CAMKK1	Q8N5S9	X55.ENSG00000004660	0.400175641	0.266663764	1
ENSG00000004700	5965	RECQL	P46063	X56.ENSG00000004700	0.157107692	0.278447655	1
ENSG00000004766	55610	VPS50	Q96JG6	X57.ENSG00000004766	0.087716667	0.646530756	1
ENSG00000004776	126393	HSPB6	O14558	X58.ENSG00000004776	-0.052991026	0.655537793	1
ENSG00000004777	115703	ARHGAP33	O14559	X59.ENSG00000004777	0.112269231	0.685100528	1
ENSG00000004779	4706	NDUFAB1	O14561	X60.ENSG00000004779	-0.043228205	0.704486675	1
ENSG00000004799	5166	PDK4	Q16654	X61.ENSG00000004799	1.559928205	0.039177795	1
ENSG00000004809	85413	SLC22A16	Q86VW1	X62.ENSG00000004809	0.343574359	0.301550819	1
ENSG00000004838	51364	ZMYND10	O75800	X63.ENSG00000004838	-0.408141026	0.051606558	1
ENSG00000004846	340273	ABCB5	Q2M3G0	X64.ENSG00000004846	0.018933333	0.02650495	1
ENSG00000004848	170302	ARX	Q96QS3	X65.ENSG00000004848	-0.021907692	0.264714927	1
ENSG00000004864	10165	SLC25A13	Q9UJS0	X66.ENSG00000004864	0.157170513	0.524139851	1
ENSG00000004866	7982	ST7	Q9NRC1	X67.ENSG00000004866	-0.241592308	0.150612848	1
ENSG00000004897	996	CDC27	P30260	X68.ENSG00000004897	0.011894872	0.938481181	1
ENSG00000004939	6521	SLC4A1	P02730	X69.ENSG00000004939	-0.087037179	0.265901758	1
ENSG00000004948	799	CALCR	P30988	X70.ENSG00000004948	-0.014569231	0.501764115	1
ENSG00000004961	3052	HCCS	P53701	X71.ENSG00000004961	0.165471795	0.252040498	1
ENSG00000004975	1856	DVL2	O14641	X72.ENSG00000004975	-0.157466667	0.403684114	1
ENSG00000005001	64063	PRSS22	Q9GZN4	X73.ENSG00000005001	-0.134061538	0.316462896	1
ENSG00000005007	5976	UPF1	Q92900	X74.ENSG00000005007	-0.0567	0.64031237	1
ENSG00000005020	8935	SKAP2	O75563	X75.ENSG00000005020	0.273753846	0.557673211	1
ENSG00000005022	292	SLC25A5	P05141	X76.ENSG00000005022	0.059629487	0.599322458	1
ENSG00000005059	55013	MCUB	Q9NWR8	X77.ENSG00000005059	0.011705128	0.916558515	1
ENSG00000005073	3207	HOXA11	P31270	X78.ENSG00000005073	0	1	1
ENSG00000005075	5439	POLR2J	P52435	X79.ENSG00000005075	-0.012433333	0.905726033	1
ENSG00000005100	56919	DHX33	Q9H6R0	X80.ENSG00000005100	-0.0276	0.883462539	1
ENSG00000005102	4222	MEOX1	P50221	X81.ENSG00000005102	0.288392308	0.289313632	1
ENSG00000005108	221981	THSD7A	Q9UPZ6	X82.ENSG00000005108	-0.121241026	0.474413369	1
ENSG00000005156	3980	LIG3	P49916	X83.ENSG00000005156	0.048219231	0.682225018	1
ENSG00000005175	79657	RPAP3	Q9H6T3	X84.ENSG00000005175	0.151214103	0.376449295	1
ENSG00000005187	6296	ACSM3	Q53FZ2	X85.ENSG00000005187	-0.000473077	0.9981345	1
ENSG00000005189	81691	REXO5	Q96IC2	X86.ENSG00000005189	0.026226923	0.905650944	1
ENSG00000005194	57019	CIAPIN1	Q6FI81	X87.ENSG00000005194	0.05945641	0.6862341	1
ENSG00000005206	56928	SPPL2B	Q8TCT7	X88.ENSG00000005206	0.014905128	0.914591021	1
ENSG00000005238	80256	FAM214B	Q7L5A3	X89.ENSG00000005238	0.591765385	0.074502923	1
ENSG00000005243	51226	COPZ2	Q9P299	X90.ENSG00000005243	0.415229487	0.131942814	1
ENSG00000005249	5577	PRKAR2B	P31323	X91.ENSG00000005249	0.156485897	0.716931738	1
ENSG00000005302	10943	MSL3	Q8N5Y2	X92.ENSG00000005302	-0.010297436	0.948802158	1
ENSG00000005339	1387	CREBBP	Q92793	X93.ENSG00000005339	-0.146241026	0.110980572	1
ENSG00000005379	9256	TSPOAP1	O95153	X94.ENSG00000005379	-0.12195	0.654998617	1
ENSG00000005381	4353	MPO	P05164	X95.ENSG00000005381	0.471939744	0.151218811	1
ENSG00000005421	5444	PON1	P27169	X96.ENSG00000005421	-0.022553846	0.501085174	1
ENSG00000005436	6936	GCFC2	P16383	X97.ENSG00000005436	-0.127855128	0.522076252	1
ENSG00000005448	84058	WDR54	Q9H977	X98.ENSG00000005448	-0.422061538	0.110354219	1
ENSG00000005469	54677	CROT	Q9UKG9	X99.ENSG00000005469	-0.037205128	0.903530522	1
ENSG00000005471	5244	ABCB4	P21439	X100.ENSG00000005471	-0.352914103	0.089832452	1
ENSG00000005483	55904	KMT2E	Q8IZD2	X101.ENSG00000005483	-0.024480769	0.901560188	1
ENSG00000005486	57414	RHBDD2	Q6NTF9	X102.ENSG00000005486	-0.345674359	0.238724034	1
